,SA,Saudia_Arabia,singapore,Spain,srilanka,sweden,switzerland,taiwan,tanzania,thailand,Togo,Turkey,UAE,uganda,ukraine,uruguay,US,uzbekistan,Venezuela,Vietnam,Yemen,zambia,zimbabwe
0,Advanced Health Ltd,24N Riyadh,Abbott,Sanitas (Spain),George Steuart Health,Region Skåne,Coltène/Whaledent,GE Healthcare,Shelys Pharmaceuticals,Zenyum,19 companies(s) found,Acibadem Healthcare Group,Mediclinic International,Infectious Diseases Institute,Arterium,Vitruvio,#1 CVS Health Corp. (CVS),ANFA Pharmaceuticals,"Laboratorios L.O. Oftalmi, C.A",Pharmacity,KHAMIS for Medicines and Medical Appliances Trading,Lewanika General Hospital,Premier Service Medical Investment
1,Ampath Trust,Nahawand Medical Supplies,Singapore General Hospital,Abbott,Asiri Health,Capio,Shc Suisse Health,Haemonetics,Pyramid Pharma,Bumrungrad International Hospital,Afircan Development Agency ,Eczac?ba??,Abbott,Rene Industries,Ametrin,Residencial - Carrasco Home,#2 UnitedHealth Group Inc. (UNH),The Orville Services,Intervet Venezolana,DHG Pharmaceutical Joint Stock Company,Sem Pharma,Upperland Private Clinic,Lancet Laboratories
2,Bio Analytical Research Corporation South Africa (Pty) Ltd,Dr. Sulaiman Al Habib Medical Center (HMC),TTSH,Philips,Asiri Hospital Holdings,Region Östergötland,Medartis,International SOS,Zenufa Laboratories,Smile Brands,EQUIMED GROUP SARL ,Abdi ?brahim ?la?,Philips,Cipla Quality Chemical Industries,Apteka-95 Pharmaceutical Firm,Natural Life,#3 McKesson Corp. (MCK),FARM,Labvitalis,Ha Tay Pharmaceutical Joint Stock,Nutra Pharma,Monze Mission Hospital,The MCAZ Chemistry
3,Busamed (Pty) Ltd,King Faisal Specialist Hospital & Research Centre (KFSH&RC),Philips,Siemens Healthineers,Nawaloka Hospitals,Diaverum,Familea,China Medical University Hospital,Shelys Pharmaceuticals,Kaiser Permanente,Edimamel ,Bilim Pharmaceuticals,GE Healthcare,International Medical Group,Matrix,GX Vision,#4 AmerisourceBergen Corp. (ABC),Neo Pass,Laboratorios Vita,DOHAPHARMA CO.,Human Care,El Shalom Clinic,Varichem
4,Clinix Health Group Ltd,Varian Medical Systems,SingHealth,Teladoc Health,State Pharmaceuticals Manufacturing,Sobi,Croix-Rouge genevoise,0,Lab Equip,Abbott,Ets Agbai Unique Biz Co ,Nobel,Aster DM Healthcare,Marie Stopes UG,Incomtech Project,Cerei - Rehabilitación Integral,#5 Cigna Corp. (CI),Dr Mardon,Zuoz Pharma,Brawn Laboratories,Natco-Al Razi,,Varichem
5,Department of Health,Qasseem National Hospital (QNH),Siemens Healthineers,Ashfield,The Lanka Hospitals,Elekta,DiaMed,National Taiwan University Hospital,Tanzania Health Summit,BJC HealthCare,Ets Sunset Consultants Ltd ,Bayndr Salk Grubu,International SOS,Hospice Africa Uganda,Liki24,Optica Lamaison - Medical,#6 Cardinal Health Inc. (CAH),Nobel Pharmaceuticals,,PYMEPHARCO,LORENA MEDICAL,,Varichem Pharmaceuticals (Pvt)
6,Dietrich Voigt Mia (Pty) Ltd,Getinge Group Middle East,NUHS,GE Healthcare,Technomedics International,Uppsala University Hospital,SCHÖTTLI,Philips,Mansoor Daya Chemicals Strategy,Philips,Ets' Sam Investment Co ,Bi?akcilar,Siemens Healthineers,Kampala Pharmaceutical Industries,International Medical Center "SmartMed,Escuela Tian Zhong,#7 Walgreens Boots Alliance Inc. (WBA),NIKA PHARM,,Nht Tr Pharma,Al-Garnin Pharma,,Shreesai Medical Suppliers Pvt
7,ER24 EMS (Pty) Ltd,Novartis - UK,GE Healthcare,Bupa,Ceyoka,Elanders,E Health and care,Chang Gung Memorial Hospital,Contipharma,GE Healthcare,Ets. Enupanco W/a Agency. ,Deva Holding A.S,NHS,Beta Healthcare Uganda,Farmak,Sinapptia,#8 Anthem Inc. (ANTM),UzNews,,Domesco Medical Import Export Joint Stock,Ibn Al Kadri Medical,,Medirite Healthcare
8,Gardmed Ambulance Services Trust,Total Alliance Health Partners International - TAHPI,National University Hospital,Mölnlycke,Pure Vision EyeCare Pvt,Praktikertjänst,Galexis,Mackay Memorial Hospital,KAS Medics,International SOS,Famak Trading Company ,Biofarma,SKMC,Abacus Parenteral Drugs,Organic Factory,Dedicar,#9 Johnson & Johnson (JNJ),KD Medical GmbH Hospital,,Mundipharma,Alahlyah Pharma,,Medtech Holdings
9,Lancet Laboratories (Pty) Ltd,National Guard Health Affairs (NGHA) - King Abdulaziz Medical City,KK Women's and Children's Hospital,DomusVi,Navesta,Ambea,Prevention Health Concepts,Taipei Veterans General Hospital,Medisurg,BNH Hospital,GS pharm ,Atabay Pharmaceutical Products,Abu Dhabi Health Services,Kimsy Meds,Vittoriavita,DC Dental,#10 Centene Corp. (CNC),Tashkent International Clinic,,Eurofins Viet Nam,Tadawi Pharma,,Oaklab Pathology
