,0
0,List_of_companies_of_Georgia_(country)
1,Badagoni
2,Kutaisi Auto Mechanical Plant
,0
0,List_of_companies_of_Abkhazia
,0
0,List_of_companies_of_Afghanistan
,0
0,List_of_companies_of_Albania
1,Big Market
2,Birra Kaon
3,Birra Korça
4,Birra Tirana
5,Coca-Cola Bottling Shqipëria
6,Eco Market
7,Neptun Electronics
,0
0,List_of_companies_of_Algeria
1,Cevital
2,Hamoud Boualem
,0
0,List_of_companies_of_Andorra
,0
0,List_of_companies_of_Angola
1,Ancar
2,Cuca beer
,0
0,List_of_companies_of_Argentina
1,Al Este
2,ASA Aluminium Body
3,Brukman factory
4,Bunge y Born
5,Cerveza Quilmes
6,Grupo Arcor
7,Havanna
8,Industrias Kaiser Argentina (IKA)
9,La Serenísima
10,Molinos Río de la Plata
11,Motomel
12,SanCor
13,Schneider
14,Zanella
,0
0,List_of_companies_of_Armenia
1,Avshar Wine Factory
2,ErAZ
3,Jermuk Mineral Water Factory
4,Kotayk Brewery
5,Yerevan Ararat Wine Factory
6,Yerevan Brandy Company
7,Yerevan Confectionery and Macaroni Factory (Grand Candy)
,0
0,List_of_companies_of_Australia
1,ABB Grain
2,Ansell
3,Arnott's Biscuits
4,Australian Agricultural Company
5,Australian Motor Industries (AMI)
6,AWB Limited
7,Billabong
8,Blundstone Footwear
9,Boag's Brewery
10,Brown Brothers Milawa Vineyard
11,Bulla Dairy Foods
12,Burns Philp
13,Camperdown Dairy International
14,CBH Group
15,Clean Seas
16,Coca-Cola Amatil
17,Crumpler
18,Darrell Lea
19,De Bortoli Wines
20,Dick Smith Foods
21,Dorf Clark Industries
22,Driza-Bone
23,Elders Limited
24,Elfin Cars
25,Foster's Group
26,Golden North
27,Goodman Fielder
28,GWA International
29,Haigh's Chocolates
30,Henry Jones IXL
31,Holden Special Vehicles
32,Holden
33,Huon Aquaculture
34,Lion
35,Maton Guitars
36,Peter Lehmann Wines
37,Rip Curl
38,Sanitarium Health and Wellbeing Company
39,Sting Sports
40,Tarocash
41,Tip Top Bakeries
42,Wine Selectors
,0
0,List_of_companies_of_Austria
1,Agrana
2,Ammerer Bed Company
3,Atomic Skis
4,Augarten porcelain
5,Bene AG
6,Bösendorfer
7,Coffeeshop Company
8,Diamond Aircraft Industries
9,Doppelmayr Garaventa Group
10,Fischer
11,Gessler
12,Goldscheider ceramics
13,Julius Blum
14,Julius Meinl
15,Kika
16,Kores
17,KTM
18,Magna Steyr
19,Noctua
20,ÖAF
21,Pfanner
22,Piatnik & Söhne
23,Puch
24,Red Bull GmbH
25,Steyr Tractor
26,Stroh
27,Swarovski
28,Tushek&Spigel Supercars
,0
0,List_of_companies_of_Azerbaijan
1,AzSamand
2,Bahra Biscuit Factory
3,Ganja Auto Plant
4,Gazelli Group
5,Inter Glass
