,Unnamed: 0,0
0,0,164 companies(s) found
1,1,????? 
2,2,"Chocolat Le Royal,Sarl "
3,3,"Soci‚t‚ Industrielle Des Produits Alimentaires & D‚riv‚s Du Sucre,Sarl ( Sipades ) "
4,4,orbitom food 
5,5,1
6,6,1111
7,7,2mp 
8,8,AL BATOUL 
9,9,AL-MOKADEM DISTRIBUTION 
10,10,ALjazir Trading LLC 
11,11,165 companies(s) found
12,12,Ab Foods 
23,0,Bomare
24,1,Bueno Hermanos
25,2,Kiowa
26,3,Codep Alger
27,4,ProComSat
28,5,Alfatron
29,6,Faderco
30,7,Grace Machinery
31,8,A2M Electronics
32,9,Inotis
33,10,Cepro
34,11,Eurl IS Pesage
35,12,Raylan Algérie
36,13,lectroménager Rue Marseille Mohammadia Mascara
37,14,Ines Cosmetics
38,15,Computer Prospective
39,16,Bag Spa
40,17,TAYAL
41,18,SARL Birloy
42,19,Darybel
43,20,Essalem Electronics
44,21,Sodinco
45,22,Nature House Algeria
46,23,BYA Electronic
47,24,Inducotex
48,25,UniversalDisc
49,26,Tecno Green Service
50,27,Tumentorgo
51,28,Samira TV
52,0,Angoalissar - Comércio e Indústria Lda
53,1,Sistec
54,2,Intramuros
55,3,Pérola Negra
56,4,Rokangol
57,5,TERMOPAINEL
58,6,Om7
59,7,Solange Fashion
60,0,The Duchess
61,1,Morgenster
62,2,World class extra virgin olive oil
63,3,The Beverage Emporium
64,4,Trump Foods
65,5,KelsenGroup
66,6, 
67,7,Alfa Leone
68,8,V8 Original Vegetable Juice
69,9,Arnotts – Tim Tam
73,0,Kgalagadi Soap Industries (Pty
74,1,Carerra Holdings
75,2,Cotton Cloud
76,3,Kutz & Tutz Group
77,4,Deaftronics
78,5,Atelier du Desert
79,6,Elegant Scents Perfumes & Cosmetics
80,7,Rika Franken
81,8,MetalWorks By Design
82,9,Mars Engineering
83,10,Angels Enterprises
84,0,Madlyn Cazalis
85,1,Buetec Broderie
86,2,Streams NS
87,3,Ficelle
88,4,Talal Abu-Ghazaleh
89,5,Group4 Trading
90,6,Cwen
91,7,Ad&t
92,8,Rasa-lr
93,9,Bamenda City
94,0,Best Food Manufacturing
96,2,51
97,3,51
98,4,Johnson Empire
99,5,Sahel Agro
100,6,LA PASTA
101,7,SUPPER POWER PACK SYSTEMS
102,8,TAYSAN MAKINA
103,9,NES-C
104,10,Green Nature Beauty
105,11,Recado Foods Spices
106,12,Swiss Pac Cameroun
107,13,Midano Sarl - Siège social
108,14,SICALIA
109,15,BARAKAT SA
110,16,EURL IDEPCO - Siège social
111,17,OK FOODS CAM
112,18,PANZANI Cameroun
113,19,SODIACAM
114,20,Le P’tit Salin SARL
115,21,Ok Foods Cameroun - Siège social
116,22,Palmol plantation LTD
117,23,Saveur d’Afrique
118,24,Sicalia - Siège social
119,25,Société Industrielle des Cacaos (SIC CACAOS)
120,26,Union Centrale des sociétés Coopératives Agricoles de l'Ouest (UCCAO)
121,27,Vision Bionaturals
122,28,Brûlerie Moderne - Siège social
123,29,Laboratoire OVEN
124,30,Maïs Cameroun SA (MAÏSCAM)
125,31,Milk Processing Company Ltd
126,32,Saïcam SARL
127,33,SOCINT
128,34,SOCINT
129,35,SOCAPURSEL - Siège social
130,36,Société camerounaise de palmeraies (SOCAPALM)
131,37,Société Camerounaise des transformation Industrielles du Cameroun (SOTICAM)
132,38,Société Camerounaise de Raffinage MAYA et Cie (SCR MAYA)
133,39,Société Les Grands Moulins du Cameroun (SGMC)
134,40,Toplait sarl
135,41,Camlait
136,42,Le Mont Sion Beverage and Food
137,43,Nestle Cameroun
138,44,SOCAPURSEL
139,45,AGROLABAO
140,46,Friesland Foods Cameroon
141,47,LA PASTA
142,48,Prolac SARL
143,49,Société Agricole Forestière Du Cameroun (SAFACAM)
144,50,Société sucrière du Cameroun (SOSUCAM)
145,51,Chocolaterie Confiserie du Cameroun (CHOCOCAM)
146,52,CHOCOCAM
147,53,La Pasta SA
148,54,PANZANI Cameroun
149,0,7 companies(s) found
150,1,Arca Express Lda 
151,2,"Atlantic Partners, Ltd. "
152,3,"Honmar Investments Lda, "
153,4,"Hortocarnes-comÉrcio Geral,Lda "
154,5,TENDETUDO LDA 
155,6,Ursula Maior 
156,7,alivida 
157,0,114 companies(s) found
158,1,OTCI 
159,2,VINCO SARL 
160,3,ABBAH 
161,4,AFRICA TRADING AGENCY SA 
162,5,AGRONORM - COTE D'IVOIRE 
163,6,AIRONE CI 
164,7,ALOM TRADING LTD 
165,8,AMS SARL 
166,9,ASDELIC 
167,10,AUGUSTINE TRADING 
168,11,114 companies(s) found
169,12,Abk Corporation Sarl 
170,0,DNM Textile
171,1,Oriental Weavers
172,2,Raya
173,3,Sheeba International Garments
174,4,Alexandria Spinning & Weaving
175,5,Nile Linen Group
176,6,Tolba Group
