,Economy,Exchange
2,Canada,Canadian Securities Exchange
3,Canada,Montreal Exchange
4,Canada,NASDAQ Canada
5,Canada,Toronto Stock Exchange
6,Canada,TSX Venture Exchange
7,Canada,NEO Exchange
9,Mexico,Bolsa Mexicana de Valores
10,Mexico,BIVA - Bolsa Institucional de Valores
12,United States,BATS Global Markets
13,United States,BZX Exchange
14,United States,BYX Exchange
15,United States,Boston Options Exchange
16,United States,C2 Options Exchange
17,United States,Chicago Board Options Exchange
18,United States,"CBOE Stock Exchange- Ceased trading April 30, 2014[2]"
19,United States,Chicago Stock Exchange
20,United States,EDGA and EDGX
21,United States,IEX
22,United States,ISE and ISE Gemini
23,United States,Long Term Stock Exchange
24,United States,Members Exchange (MEMX)
25,United States,Miami International Securities Exchange
26,United States,NASDAQ
27,United States,NASDAQ OMX BX
28,United States,NASDAQ OMX PHLX
29,United States,New York Stock Exchange
30,United States,NYSE Arca
31,United States,NYSE American (formerly NYSE MKT and the American Stock Exchange)
34,Costa Rica,Bolsa Nacional de Valores
36,El Salvador,Bolsa de Valores de El Salvador
38,Guatemala,Bolsa Nacional de Valores
40,Honduras,Bolsa Centroamericana de Valores
41,Honduras,Bolsa Honduras de Valores
43,Nicaragua,Bolsa de Valores de Nicaragua
45,Panama,Bolsa de Valores de Panamá
48,Argentina,Buenos Aires Stock Exchange
52,Bolivia,Bolsa Boliviana de Valores
54,Brazil,B3
55,Brazil,Rio de Janeiro Stock Exchange
56,Brazil,Brazilian Mercantile and Futures Exchange
57,Brazil,Bolsa de Cereais e Mercardorias de Maringá
58,Brazil,Bolsa de Valores Minas - Espírito Santo - Brasília
60,Chile,Santiago Stock Exchange (MILA)
61,Chile,Bolsa Electronica de Chile
62,Chile,Valparaíso Stock Exchange
64,Colombia,Colombia Stock Exchange (MILA)
66,Ecuador,Bolsa de Valores de Guayaquil
67,Ecuador,Bolsa de Valores de Quito
69,Guyana,Guyana Stock Exchange
71,Paraguay,Bolsa de Valores y Productos de Asunción
73,Peru,Lima Stock Exchange (MILA)
75,Suriname,Suriname Stock Exchange
77,Uruguay,Bolsa de Valores de Montevideo
78,Uruguay,Bolsa Electronica de Valores de Uruguay
80,Venezuela,Bolsa de Valores de Caracas
85,Bahamas,Bahamas Securities Exchange
87,Barbados,Barbados Stock Exchange
89,Bermuda,Bermuda Stock Exchange
91,Cayman Islands,Cayman Islands Stock Exchange
93,Curacao,Dutch Caribbean Securities Exchange
96,Dominican Republic,Latin American International Financial Exchange
97,Dominican Republic,Bolsa de Valores de la República Dominicana
100,Haiti,Haitian Stock Exchange
102,Jamaica,Jamaica Stock Exchange
105,Saint Kitts and Nevis,Eastern Caribbean Securities Exchange
109,Trinidad and Tobago,Trinidad and Tobago Stock Exchange
